city,year,brand,model,color,body_type,engine,engine_power,fuel_type,kilometrage,transmission,drivetrain,new,price
Bakı,2013,Kia,Sportage,Qara,Offroader / SUV,2.4 L,176 a.g.,Benzin,140 000 km,Avtomat,Tam,Xeyr,28 000 AZN
Bakı,2006,Kia,Sorento,Qara,Offroader / SUV,2.5 L,170 a.g.,Dizel,229 657 km,Avtomat,Arxa,Xeyr,17 500 AZN
Bakı,2011,Kia,Rio,Boz,Hetçbek / Liftbek,1.4 L,107 a.g.,Dizel,181 200 km,Mexaniki,Ön,Xeyr,16 900 AZN
Bakı,2014,Kia,Cerato,Ağ,Sedan,1.6 L,132 a.g.,Benzin,220 000 km,Avtomat,Ön,Xeyr,23 500 AZN
Bakı,2011,Kia,Ceed,Qara,Hetçbek / Liftbek,1.6 L,116 a.g.,Benzin,130 800 km,Avtomat,Ön,Xeyr,16 000 AZN
Bakı,2013,Kia,Optima,Ağ,Sedan,2.0 L,165 a.g.,Benzin,130 000 km,Avtomat,Ön,Xeyr,25 450 AZN
Bakı,2020,Kia,Cerato,Yaş Asfalt,Sedan,1.6 L,130 a.g.,Benzin,16 361 km,Avtomat,Ön,Xeyr,34 500 AZN
Bakı,2007,Kia,Ceed,Gümüşü,Universal,1.6 L,116 a.g.,Dizel,260 000 km,Mexaniki,Ön,Xeyr,14 900 AZN
Bakı,2015,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,168 176 km,Avtomat,Ön,Xeyr,25 200 AZN
Bakı,2013,Kia,Rio,Ağ,Sedan,1.4 L,107 a.g.,Benzin,160 000 km,Avtomat,Ön,Xeyr,16 200 AZN
Bakı,2006,Kia,Optima,Gümüşü,Sedan,2.0 L,144 a.g.,Benzin,71 000 km,Mexaniki,Ön,Xeyr,17 000 AZN
Sumqayıt,2011,Kia,Rio,Qara,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,143 000 km,Avtomat,Ön,Xeyr,13 000 AZN
Bakı,2008,Kia,Ceed,Tünd qırmızı,Universal,1.4 L,122 a.g.,Benzin,96 000 km,Mexaniki,Ön,Xeyr,13 800 AZN
Bakı,2013,Kia,Optima,Ağ,Sedan,2.4 L,180 a.g.,Benzin,104 000 km,Avtomat,Ön,Xeyr,24 600 AZN
Bakı,2012,Kia,Sorento,Qara,Offroader / SUV,2.4 L,175 a.g.,Benzin,150 000 km,Avtomat,Tam,Xeyr,32 500 AZN
Sumqayıt,2021,Kia,Rio X-Line,Ağ,Universal,1.4 L,100 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,27 600 AZN
Bakı,2015,Kia,Sorento,Boz,Offroader / SUV,2.0 L,184 a.g.,Dizel,178 000 km,Avtomat,Tam,Xeyr,45 500 AZN
Bakı,2018,Kia,Stinger,Göy,Hetçbek / Liftbek,3.3 L,370 a.g.,Benzin,37 000 km,Avtomat,Tam,Xeyr,37 900 $
Bakı,2015,Kia,Sorento,Ağ,Offroader / SUV,2.2 L,197 a.g.,Dizel,97 000 km,Avtomat,Tam,Xeyr,43 900 AZN
Bakı,2019,Kia,Stinger,Göy,Hetçbek / Liftbek,2.0 L,247 a.g.,Benzin,11 500 km,Avtomat,Arxa,Xeyr,37 500 $
Bakı,2017,Kia,Sorento,Qara,Offroader / SUV,2.4 L,188 a.g.,Benzin,57 000 km,Avtomat,Tam,Xeyr,32 700 $
Bakı,2013,Kia,Sorento,Qara,Offroader / SUV,2.0 L,184 a.g.,Dizel,158 500 km,Avtomat,Ön,Xeyr,36 000 AZN
Bakı,2011,Kia,Ceed,Qara,Universal,1.6 L,115 a.g.,Dizel,219 456 km,Avtomat,Ön,Xeyr,18 500 AZN
Sumqayıt,2008,Kia,Ceed,Gümüşü,Hetçbek / Liftbek,1.6 L,115 a.g.,Dizel,220 000 km,Mexaniki,Ön,Xeyr,13 200 AZN
Bakı,2007,Kia,Rio,Mavi,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,245 000 km,Mexaniki,Ön,Xeyr,11 000 AZN
